3965.314824499, geometry_msgs.msg.Vector3(x=0.23675696550000008, y=0.0, z=0.0), geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=0.0)
3965.345922557, geometry_msgs.msg.Vector3(x=0.23675696550000008, y=0.0, z=0.0), geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=0.0)
3965.374826588, geometry_msgs.msg.Vector3(x=0.23675696550000008, y=0.0, z=0.0), geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=0.0)
3965.406739506, geometry_msgs.msg.Vector3(x=0.23675696550000008, y=0.0, z=0.0), geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=0.0)
3965.436286103, geometry_msgs.msg.Vector3(x=0.23675696550000008, y=0.0, z=0.0), geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=0.0)
3965.466961463, geometry_msgs.msg.Vector3(x=0.23675696550000008, y=0.0, z=0.0), geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=0.0)
3965.49576455, geometry_msgs.msg.Vector3(x=0.23675696550000008, y=0.0, z=0.0), geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=0.0)
3965.525366868, geometry_msgs.msg.Vector3(x=0.23675696550000008, y=0.0, z=0.0), geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=0.0)
3965.554796947, geometry_msgs.msg.Vector3(x=0.23675696550000008, y=0.0, z=0.0), geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=0.0)
3965.584812815, geometry_msgs.msg.Vector3(x=0.23675696550000008, y=0.0, z=0.0), geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=0.0)
3965.617467392, geometry_msgs.msg.Vector3(x=0.23675696550000008, y=0.0, z=0.0), geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=0.0)
3965.644881144, geometry_msgs.msg.Vector3(x=0.23675696550000008, y=0.0, z=0.0), geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=0.0)
3965.675944277, geometry_msgs.msg.Vector3(x=0.23675696550000008, y=0.0, z=0.0), geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=0.0)
3965.706193994, geometry_msgs.msg.Vector3(x=0.23675696550000008, y=0.0, z=0.0), geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=0.0)
3965.734626938, geometry_msgs.msg.Vector3(x=0.23675696550000008, y=0.0, z=0.0), geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=0.0)
3965.76587705, geometry_msgs.msg.Vector3(x=0.23675696550000008, y=0.0, z=0.0), geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=0.0)
3965.797350752, geometry_msgs.msg.Vector3(x=0.23675696550000008, y=0.0, z=0.0), geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=0.0)
3965.828525477, geometry_msgs.msg.Vector3(x=0.23675696550000008, y=0.0, z=0.0), geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=0.0)
3965.959807107, geometry_msgs.msg.Vector3(x=0.23675696550000008, y=0.0, z=0.0), geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=0.0)
3965.961991876, geometry_msgs.msg.Vector3(x=0.23675696550000008, y=0.0, z=0.0), geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=0.0)
3965.974550572, geometry_msgs.msg.Vector3(x=0.23675696550000008, y=0.0, z=0.0), geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=0.0)
3966.005224728, geometry_msgs.msg.Vector3(x=0.23675696550000008, y=0.0, z=0.0), geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=0.0)
3966.034703363, geometry_msgs.msg.Vector3(x=0.23675696550000008, y=0.0, z=0.0), geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=0.0)
3966.065347594, geometry_msgs.msg.Vector3(x=0.23675696550000008, y=0.0, z=0.0), geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=0.0)
3966.094273401, geometry_msgs.msg.Vector3(x=0.23675696550000008, y=0.0, z=0.0), geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=0.0)
3966.1254547, geometry_msgs.msg.Vector3(x=0.23675696550000008, y=0.0, z=0.0), geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=0.0)
3966.157240787, geometry_msgs.msg.Vector3(x=0.23675696550000008, y=0.0, z=0.0), geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=0.0)
3966.187853981, geometry_msgs.msg.Vector3(x=0.23675696550000008, y=0.0, z=0.0), geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=0.0)
3966.214932978, geometry_msgs.msg.Vector3(x=0.23675696550000008, y=0.0, z=0.0), geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=0.0)
3966.244654887, geometry_msgs.msg.Vector3(x=0.23675696550000008, y=0.0, z=0.0), geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=0.0)
3966.278411116, geometry_msgs.msg.Vector3(x=0.23675696550000008, y=0.0, z=0.0), geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=0.0)
3966.509364917, geometry_msgs.msg.Vector3(x=0.23675696550000008, y=0.0, z=0.0), geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=0.0)
3967.008981977, geometry_msgs.msg.Vector3(x=0.23675696550000008, y=0.0, z=0.0), geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=0.0)
3967.031395866, geometry_msgs.msg.Vector3(x=0.23675696550000008, y=0.0, z=0.0), geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=0.0)
3967.061461956, geometry_msgs.msg.Vector3(x=0.23675696550000008, y=0.0, z=0.0), geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=0.0)
3967.104133389, geometry_msgs.msg.Vector3(x=0.23675696550000008, y=0.0, z=0.0), geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=0.0)
3967.123011322, geometry_msgs.msg.Vector3(x=0.23675696550000008, y=0.0, z=0.0), geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=0.0)
3967.152294866, geometry_msgs.msg.Vector3(x=0.23675696550000008, y=0.0, z=0.0), geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=0.0)
3967.173430289, geometry_msgs.msg.Vector3(x=0.23675696550000008, y=0.0, z=0.0), geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.43046721000000016)
3967.682277567, geometry_msgs.msg.Vector3(x=0.23675696550000008, y=0.0, z=0.0), geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.43046721000000016)
3967.708406947, geometry_msgs.msg.Vector3(x=0.23675696550000008, y=0.0, z=0.0), geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.43046721000000016)
3967.733814131, geometry_msgs.msg.Vector3(x=0.23675696550000008, y=0.0, z=0.0), geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.43046721000000016)
3967.765715921, geometry_msgs.msg.Vector3(x=0.23675696550000008, y=0.0, z=0.0), geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.43046721000000016)
3967.794122124, geometry_msgs.msg.Vector3(x=0.23675696550000008, y=0.0, z=0.0), geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.43046721000000016)
3967.822606789, geometry_msgs.msg.Vector3(x=0.23675696550000008, y=0.0, z=0.0), geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.43046721000000016)
3967.85385766, geometry_msgs.msg.Vector3(x=0.23675696550000008, y=0.0, z=0.0), geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.43046721000000016)
